Time         X         Y        Az
-------------------------------------------
   0.021   1.222  50.445  20.000
   0.036   2.443  50.889  20.000
   0.052   3.665  51.334  20.000
   0.067   4.886  51.779  20.000
   0.082   6.108  52.223  20.000
   0.097   7.330  52.668  20.000
   0.112   8.551  53.112  20.000
   0.128   9.773  53.557  20.000
   0.143  10.994  54.002  20.000
   0.159  12.216  54.446  20.000
   0.175  13.438  54.891  20.000
   0.190  14.659  55.336  20.000
   0.205  15.928  55.618  12.552
   0.221  17.223  55.734   5.103
   0.236  18.522  55.680 357.655
   0.251  19.803  55.459 350.206
   0.267  21.045  55.074 342.758
   0.282  22.226  54.531 335.309
   0.297  23.326  53.839 327.861
   0.312  24.328  53.011 320.412
   0.328  25.214  52.060 312.964
   0.343  25.970  51.001 305.515
   0.358  26.581  49.854 298.067
   0.374  27.039  48.638 290.619
   0.390  27.335  47.372 283.170
   0.405  27.465  46.078 275.722
   0.420  27.426  44.779 268.273
   0.435  27.218  43.496 260.825
   0.451  26.846  42.250 253.376
   0.467  26.316  41.063 245.928
   0.482  25.636  39.955 238.479
   0.498  24.819  38.944 231.031
   0.513  23.950  37.977 228.065
   0.531  23.081  37.010 228.065
   0.544  22.213  36.043 228.065
   0.559  21.344  35.076 228.065
   0.574  20.475  34.109 228.065
   0.590  19.606  33.142 228.065
   0.605  18.738  32.174 228.065
   0.621  17.869  31.207 228.065
   0.637  17.000  30.240 228.065
   0.652  16.131  29.273 228.065
   0.668  15.262  28.306 228.065
   0.683  14.394  27.339 228.065
   0.698  13.525  26.372 228.065
   0.714  12.656  25.405 228.065
   0.729  11.787  24.438 228.065
   0.745  10.919  23.471 228.065
   0.761  10.050  22.504 228.065
   0.777   9.181  21.537 228.065
   0.793   8.312  20.569 228.065
   0.809   7.444  19.602 228.065
   0.826   6.575  18.635 228.065
   0.857   5.706  17.668 228.065
   0.880   4.837  16.701 228.065
   0.920   3.969  15.734 228.065
   0.948   3.100  14.767 228.065
   0.962   2.231  13.800 228.065
   0.980   1.362  12.833 228.065
   1.040   0.493  11.866 228.065
   1.058  -0.375  10.899 228.065
   1.072  -1.244   9.932 228.065
   1.089  -2.113   8.965 228.065
   1.103  -2.982   7.997 228.065
   1.119  -3.850   7.030 228.065
   1.134  -4.719   6.063 228.065
   1.160  -5.588   5.096 228.065
   1.259  -6.457   4.129 228.065
   1.336  -7.325   3.162 228.065
   1.348  -8.194   2.195 228.065
   1.364  -9.063   1.228 228.065
   1.401  -9.932   0.261 228.065
   1.452 -10.801  -0.706 228.065
   1.508 -11.669  -1.673 228.065
   1.555 -12.538  -2.640 228.065
   1.625 -13.407  -3.608 228.065
   1.642 -14.276  -4.575 228.065
   1.663 -15.144  -5.542 228.065
   1.692 -16.013  -6.509 228.065
   1.716 -16.882  -7.476 228.065
   1.736 -17.751  -8.443 228.065
   1.765 -18.619  -9.410 228.065
   1.777 -19.488 -10.377 228.065
   1.795 -20.357 -11.344 228.065
   1.808 -21.226 -12.311 228.065
   1.825 -22.094 -13.278 228.065
   1.841 -22.963 -14.245 228.065
   1.844 -23.832 -15.212 228.065
   1.856 -24.701 -16.180 228.065
   1.872 -25.570 -17.147 228.065
   1.889 -26.438 -18.114 228.065
   1.903 -27.307 -19.081 228.065
   1.918 -28.176 -20.048 228.065
   1.935 -29.045 -21.015 228.065
   1.966 -29.913 -21.982 228.065
   1.985 -30.782 -22.949 228.065
   1.996 -31.651 -23.916 228.065
   2.015 -32.520 -24.883 228.065
   2.036 -33.388 -25.850 228.065
   2.077 -34.257 -26.817 228.065
   2.097 -35.126 -27.785 228.065
   2.140 -35.995 -28.752 228.065
   2.155 -36.864 -29.719 228.065
   2.171 -37.732 -30.686 228.065
   2.202 -38.601 -31.653 228.065
   2.218 -39.470 -32.620 228.065
   2.248 -40.339 -33.587 228.065
   2.263 -41.207 -34.554 228.065
   2.279 -42.076 -35.521 228.065
   2.294 -42.945 -36.488 228.065
   2.315 -43.814 -37.455 228.065
   2.340 -44.682 -38.422 228.065
   2.357 -45.551 -39.390 228.065
   2.370 -46.420 -40.357 228.065
   2.386 -47.289 -41.324 228.065
   2.401 -48.157 -42.291 228.065
   2.416 -49.026 -43.258 228.065
   2.432 -49.895 -44.225 228.065
   2.453 -50.764 -45.192 228.065
   2.463 -51.633 -46.159 228.065
   2.478 -52.501 -47.126 228.065
   2.493 -53.370 -48.093 228.065
   2.509 -54.239 -49.060 228.065
   2.524 -55.108 -50.027 228.065
   2.540 -55.976 -50.994 228.065
   2.555 -56.845 -51.962 228.065
   2.579 -57.714 -52.929 228.065
   2.603 -58.583 -53.896 228.065
   2.616 -59.451 -54.863 228.065
   2.632 -60.320 -55.830 228.065
   2.651 -61.189 -56.797 228.065
   2.661 -62.058 -57.764 228.065
   2.678 -62.927 -58.731 228.065
   2.693 -63.795 -59.698 228.065
   2.708 -64.664 -60.665 228.065
   2.725 -65.533 -61.632 228.065
   2.740 -66.402 -62.599 228.065
   2.755 -67.270 -63.567 228.065
   2.771 -68.139 -64.534 228.065
   2.784 -69.008 -65.501 228.065
   2.801 -69.877 -66.468 228.065
   2.816 -70.745 -67.435 228.065
